date,equity
2016-09-23,270322.877000
2016-09-26,269817.593169
2016-09-27,269950.620480
2016-09-28,270901.622205
2016-09-29,268256.581462
2016-09-30,268548.378422
2016-10-03,266652.292510
2016-10-04,262569.191036
2016-10-05,263168.140889
2016-10-06,263146.777644
2016-10-07,261292.967240
2016-10-10,262676.522970
2016-10-11,258476.631814
2016-10-12,259774.399861
2016-10-13,260229.607493
2016-10-14,259632.846590
2016-10-17,258886.084364
2016-10-18,260919.813612
2016-10-19,261373.843634
2016-10-20,261995.979173
2016-10-21,260878.696109
2016-10-24,262277.514992
2016-10-25,260857.844300
2016-10-26,258086.016938
2016-10-27,255722.257576
2016-10-28,256976.353144
2016-10-31,257874.009778
2016-11-01,255603.708393
2016-11-02,253212.129688
2016-11-03,252310.912228
2016-11-04,253399.723025
2016-11-07,259015.631401
2016-11-08,261113.730137
2016-11-09,264512.016804
2016-11-10,263655.537239
2016-11-11,261991.740831
2016-11-14,262851.653842
2016-11-15,267637.570652
2016-11-16,266467.366658
2016-11-17,265918.138898
2016-11-18,265756.464515
2016-11-21,268547.054069
2016-11-22,269449.649267
2016-11-23,270928.823080
2016-11-25,271168.830750
2016-11-28,268640.839744
2016-11-29,268519.178265
2016-11-30,272398.535612
2016-12-01,268612.707376
2016-12-02,270174.706972
2016-12-05,272100.988915
2016-12-06,274049.560609
2016-12-07,278567.018078
2016-12-08,278966.221827
2016-12-09,277324.048859
2016-12-12,275342.273002
2016-12-13,277249.888529
2016-12-14,274508.200400
2016-12-15,276246.803710
2016-12-16,274324.396297
2016-12-19,274734.430877
2016-12-20,276001.012053
2016-12-21,275932.320305
2016-12-22,275729.498456
2016-12-23,276792.725508
2016-12-27,277721.015884
2016-12-28,273842.836639
2016-12-29,273772.270512
2016-12-30,271961.003741
2017-01-03,274626.053771
2017-01-04,277785.880806
2017-01-05,276843.597737
2017-01-06,277264.375472
2017-01-09,275316.123958
2017-01-10,276821.474371
2017-01-11,279000.233436
2017-01-12,276819.380340
2017-01-13,278160.567769
2017-01-17,273947.438105
2017-01-18,276884.907340
2017-01-19,277402.472767
2017-01-20,278732.267300
2017-01-23,278081.095063
2017-01-24,283111.548361
2017-01-25,285811.408585
2017-01-26,287156.753413
2017-01-27,286874.998886
2017-01-30,284130.183749
2017-01-31,283170.781573
2017-02-01,284050.641833
2017-02-02,283631.986427
2017-02-03,288848.554296
2017-02-06,287591.602983
2017-02-07,286689.503936
2017-02-08,284591.923306
2017-02-09,288050.607432
2017-02-10,288573.097902
2017-02-13,290872.476645
2017-02-14,292737.434589
2017-02-15,293571.976663
2017-02-16,292350.737995
2017-02-17,291702.596256
2017-02-21,293927.160148
2017-02-22,292410.888610
2017-02-23,291584.956012
2017-02-24,290293.266201
2017-02-27,292522.968388
2017-02-28,291882.008146
2017-03-01,299587.869353
2017-03-02,295556.370681
2017-03-03,298130.464485
